Stable ID,Category,Title,Issue,Advice,Examples – Pass,Examples – Fail,Accessibility Consideration,References,Rationale,Enforcement Level,Roles,Severity,Metrics Affected,Platform-wise Applicability,Page-wise Applicability,Component-wise Applicability,Context-wise Applicability,Evidence Type,AI Support,Confidence Weight,Version
ABT-001,About Us,"Clearly define the organisation’s purpose, mission, vision, and values","• Purpose, mission, or vision is missing or vaguely stated. • Users cannot quickly understand why the organisation exists. • This reduces credibility and clarity of intent.","• Add a concise “Our Purpose” section. • Clearly list Mission, Vision, and Values in simple language. • Place prominently and link from navigation/footer.","• About Us page clearly lists Mission, Vision, and Values in dedicated sections.",• About Us page contains generic text with no clear purpose or mission.,• Clear structure supports screen readers and users with cognitive disabilities by improving comprehension.,GIGW 3.0 – Section 3.1.4; WCAG 2.1 Guideline 1.3,"Clearly articulating purpose and values builds trust, transparency, and alignment with citizen expectations, which is foundational for government digital services.",Foundational,Designer,Small Issue,"User trust, Comprehension",Website (Desktop); Website (Mobile View),About Us,Content sections,Organisational identity,Content,Evaluative,0.85,v3.0.0
ABT-002,About Us,Provide a clear organisational overview describing background and mandate,• Organisation background and mandate are unclear or missing. • Users cannot identify who operates the service. • This weakens transparency and accountability.,• Add a structured organisational overview. • Use headings such as “Who We Are” and “Our Journey”. • Include concise supporting visuals if relevant.,• About Us page explains organisational background and mandate clearly.,• Only generic or marketing text with no organisational detail.,• Structured headings and semantic sections improve navigation for assistive technologies.,"GIGW 3.0 – Section 3.1.4; WCAG 2.1 Guidelines 1.3, 2.4","Providing organisational context establishes legitimacy and accountability, which are critical for citizen-facing governance platforms.",Foundational,Designer,Medium Issue,"User trust, Drop-offs",Website (Desktop); Website (Mobile View),About Us,Content sections,Organisational transparency,Content,Evaluative,0.85,v3.0.0
ABT-003,About Us,Clearly outline the organisation’s core values,• Core values are missing or buried in text. • Users cannot understand guiding principles. • This reduces perceived ethics and trustworthiness.,• Add a dedicated “Our Core Values” section. • List 3–5 concise values with short descriptions. • Place near mission and vision.,• Clearly labelled “Core Values” section with short descriptions.,• Values implied indirectly or not stated at all.,• Clear labels and contrast support readability for low-vision and cognitive users.,GIGW 3.0 – Section 3.1.4; DBIM; WCAG 2.1 SC 2.4.6; BIS IS 17428:2020,"Explicitly stating values communicates ethics, accountability, and intent, strengthening institutional trust.",Foundational,Designer,Small Issue,User trust,Website (Desktop); Website (Mobile View),About Us,Content sections,Ethical positioning,Content,Evaluative,0.85,v3.0.0
ABT-004,About Us,Introduce key leaders and team members with roles and responsibilities,• Leadership information is missing or unclear. • Users cannot identify responsible authorities. • This weakens transparency and accountability.,"• Add a “Our Leadership” or “Who’s Who” section. • Include names, roles, and brief bios. • Place logically within About Us.",• Leadership section lists key members with roles and short bios.,• No mention of leadership or responsible officials.,• Proper headings and structured bios support screen reader navigation.,GIGW 3.0 – Section 3.1.4; DBIM,Leadership visibility reinforces accountability and helps users associate services with responsible authorities.,Foundational,Designer,Small Issue,User trust,Website (Desktop); Website (Mobile View),About Us,Content sections,Accountability and governance,Content,Evaluative,0.85,v3.0.0
ABT-005,About Us,Highlight significant achievements and milestones,• Key achievements or milestones are missing or hard to find. • Users cannot assess impact or credibility. • Trust and transparency are weakened.,• Add a clearly labeled “Achievements” or “Milestones” section. • Use a simple timeline or grid with dates and outcomes. • Keep content concise and verifiable.,"• Timeline showing milestones like awards, scale reached, or major launches.",• Achievements buried in long paragraphs or not present at all.,• Structured headings and clear labels support screen readers and users with cognitive disabilities.,GIGW 3.0 – Section 3.1.4; DBIM Public Accountability Guidelines; WCAG 2.1 SC 2.4.6,Showcasing achievements builds institutional credibility and reassures users of legitimacy and impact.,Optimizing,Designer,Small Issue,"User trust, Engagement",Website (Desktop); Website (Mobile View),About Us,"Timeline, Content blocks",Institutional credibility,Content,Evaluative,0.85,v3.0.0
ABT-006,About Us,Include a brief history of the organisation,• Organisational background is missing. • Users lack context on origin and evolution. • Identity and trust signals are weakened.,• Add a short history section with key dates. • Use a lightweight visual timeline. • Place near achievements or overview.,• “Our Journey” section summarizing key phases with dates.,• No historical context or only vague statements.,• Clear structure and readable text support comprehension for assistive technology users.,GIGW 3.0 – Section 3.1.4; DBIM Organisational Identity Guidelines,"A concise history provides context, continuity, and legitimacy for citizen-facing services.",Optimizing,Designer,Small Issue,"User trust, Comprehension",Website (Desktop); Website (Mobile View),About Us,"Timeline, Content sections",Organisational identity,Content,Evaluative,0.85,v3.0.0
ABT-007,About Us,Use authentic images or videos to humanize the organisation,• About Us page feels impersonal. • Users cannot visually connect with the organisation. • Perceived authenticity is reduced.,• Include real images or short videos of team or workplace. • Use captions and consistent layout. • Ensure media is inclusive and relevant.,• Team photos with captions and alt text.,• Stock images unrelated to the organisation or no media at all.,• Alt text and captions ensure non-text content is accessible to screen reader users.,GIGW 3.0 – Section 3.1.4; DBIM Visual Identity & Engagement Guidelines,"Authentic visuals humanize the organisation, increasing trust and emotional connection.",Optimizing,Designer,Small Issue,"Engagement, User trust",Website (Desktop); Website (Mobile View),About Us,"Images, Videos",Visual credibility,"Visual, Content",Assisted,0.65,v3.0.0
ABT-008,About Us,Provide links to related sections to encourage exploration,• Users reach a dead end on About Us. • Related information is not discoverable. • Engagement opportunities are missed.,• Add a small “Explore More” section with relevant links. • Ensure links are clearly labeled and accessible. • Place logically at the end of the page.,"• Visible links to Careers, News, or Press pages.",• No outbound links or vague “Click here” links.,• Clear link purpose supports keyboard and screen reader navigation.,"GIGW 3.0 – Sections 3.1.4, 4.1.5; WCAG 2.1 SC 2.4.4","Cross-linking improves discoverability, engagement, and task continuation across the site.",Optimizing,"Designer, Developer",Small Issue,"Engagement, Navigation depth",Website (Desktop); Website (Mobile View),About Us,"Links, Footer",Content discovery,Content,Assisted,0.65,v3.0.0
PLD-001,Page Layout and Visual Design,Follow recognized scanning patterns (F-pattern / Z-pattern),• Layout does not align with natural reading and scanning behavior. • Important content is placed outside common visual scan paths. • Users miss key information or actions.,"• Arrange content to follow F-shaped or Z-shaped scanning patterns. • Place critical headings, CTAs, and links along primary scan paths.",• Key information appears along top and left-aligned scan areas.,• Important actions placed randomly or far from scan paths.,• Predictable visual flow helps users with cognitive and attention limitations process content efficiently.,GIGW 3.0 – Section 2.2.5; DBIM; BIS IS 17428:2020; WCAG 2.2 SC 2.4.3,"Aligning layouts with natural scanning behavior reduces cognitive effort, improves discoverability, and supports efficient task completion.",Optimizing,Designer,Medium Issue,"Time-on-task, Missed actions",Website (Desktop); Website (Mobile View),Common,Page layout,Content scanning,Visual,Evaluative,0.8,v3.0.0
PLD-002,Page Layout and Visual Design,Make webpage content easy to scan without cognitive overload,• Content appears dense and difficult to scan. • Lack of hierarchy makes it hard to locate information quickly. • Users feel overwhelmed and disengage.,"• Use clear headings, short paragraphs, and grouped content. • Apply strong visual hierarchy and whitespace.","• Page uses headings, bullets, and spacing to guide scanning.",• Large text blocks with no hierarchy or spacing.,• Improved scanability supports users with cognitive disabilities and low literacy.,"GIGW 3.0 – Section 2.2.3; WCAG 2.1 SC 2.4.6, 1.3.1; DBIM","Scan-friendly layouts reduce mental load and help users find information quickly, improving usability and confidence.",Optimizing,"Designer, Developer",Medium Issue,"Drop-offs, Cognitive load",Website (Desktop); Website (Mobile View),Common,Content blocks,Information discovery,"Visual, Content",Evaluative,0.8,v3.0.0
PLD-003,Page Layout and Visual Design,Ensure screen density is appropriate for target users and tasks,• Content is too dense or too sparse for user needs. • Readability and task efficiency suffer. • Interface feels cluttered or inefficient.,"• Adjust spacing, font size, and content chunking based on user context. • Maintain clean hierarchy and adequate whitespace.",• Layout balances readability and information density for target users.,• Overcrowded screens or excessive empty space.,"• Proper density benefits users with visual, motor, or cognitive limitations.","GIGW 3.0 – Sections 3.2.3, 3.4.1; DBIM","Appropriate screen density improves readability, reduces errors, and supports diverse user groups across devices.",Optimizing,"Designer, Developer",Medium Issue,"Readability, Task efficiency",Website (Desktop); Website (Mobile View); Mobile App,Common,Layout containers,Task-focused interaction,Visual,Assisted,0.65,v3.0.0
PLD-004,Page Layout and Visual Design,Use legible fonts and font sizes to ensure readability and accessibility,• Fonts are too small or hard to read. • Poor contrast or spacing reduces legibility. • Users struggle to read content.,• Use readable sans-serif fonts with minimum 16px body text. • Ensure sufficient contrast and line spacing. • Support text resizing up to 200%.,"• Text is clearly readable with proper size, spacing, and contrast.","• Small fonts, low contrast, or cramped text.","• Essential for users with low vision, dyslexia, or cognitive impairments.","GIGW 3.0 – Section 3.2.3; DBIM; WCAG 2.1 SC 1.4.3, 1.4.4, 1.4.12","Legible typography is foundational for accessibility, comprehension, and inclusive design across all digital services.",Foundational,"Designer, Developer",Big Issue,"Readability, Accessibility risk",Website (Desktop); Website (Mobile View); Mobile App,Common,Text elements,Content consumption,Visual,Deterministic,0.9,v3.0.0
PLD-005,Page Layout and Visual Design,Guide users’ focus toward the next action using clear visual cues,• Page layout does not clearly indicate the next step. • Users hesitate or miss the primary action. • This increases friction and task abandonment.,"• Use strong visual hierarchy and directional cues. • Highlight the primary CTA with color, size, and placement. • Apply progressive disclosure to sequence actions logically.",• A prominent “Continue” or “Next” CTA appears after completing a step.,• Multiple CTAs compete equally with no clear priority.,• Clear focus order and prominent CTAs help screen reader and cognitive users identify the intended next step.,"GIGW 3.0 – Sections 3.1.3, 3.2.4; DBIM","Guiding user focus reduces decision fatigue and supports intuitive task progression, improving completion rates and user confidence.",Optimizing,"Designer, Developer",Medium Issue,"Task completion, Drop-offs",Website (Desktop); Website (Mobile View),Common,"CTAs, Content sections",Task progression,"Visual, Interaction",Assisted,0.65,v3.0.0
PLD-006,Page Layout and Visual Design,Provide a clear visual starting point on every page,• Pages lack a clear entry point or focal element. • Users are unsure where to begin. • This increases orientation time and confusion.,"• Introduce a prominent heading, hero, or key CTA at the top. • Maintain consistent entry-point patterns across pages.",• Page opens with a clear heading or hero guiding attention.,• Page begins with dense content and no focal point.,• Strong entry points support users with cognitive impairments by improving orientation and predictability.,GIGW 3.0 – Section 3.2.4; DBIM,"A clear starting point orients users quickly, reducing cognitive load and improving navigation efficiency.",Optimizing,"Designer, Developer",Medium Issue,"Time-on-task, Navigation errors",Website (Desktop); Website (Mobile View),Common,"Page header, Hero section",Page orientation,Visual,Assisted,0.65,v3.0.0
PLD-007,Page Layout and Visual Design,Maintain consistent layout across all pages and devices,• Layout patterns vary across pages or platforms. • Users must relearn navigation repeatedly. • This reduces trust and usability.,"• Use shared layout templates and a design system. • Keep navigation, headers, and footers consistent.",• Pages follow the same structural layout across the site/app.,• Different pages use inconsistent layouts and patterns.,• Consistency benefits screen reader users and users with cognitive disabilities by reducing learning effort.,"GIGW 3.0 – Sections 3.2.2, 3.2.4; WCAG 2.1 SC 3.2.3, 3.2.4; DBIM","Consistent layouts reinforce familiarity, reduce cognitive load, and support efficient navigation across journeys.",Foundational,"Designer, Developer",Medium Issue,"Navigation errors, User trust",Website (Desktop); Website (Mobile View); Mobile App,Common,Layout templates,Cross-page navigation,"Visual, DOM",Evaluative,0.75,v3.0.0
PLD-008,Page Layout and Visual Design,Place high-priority information above the first screen,• Important features are hidden below the fold. • Users must scroll to access frequent actions. • This reduces efficiency.,• Position commonly used features above the fold. • Prioritize key actions and content in the first screen.,"• Login, search, or primary services visible on page load.",• Key actions only visible after scrolling.,• Above-the-fold placement benefits users with motor or cognitive limitations by reducing effort.,"GIGW 3.0 – Sections 3.2.3, 3.2.4; DBIM","Surfacing high-priority content early improves efficiency and supports task-oriented user behavior, especially on mobile.",Optimizing,"Designer, Developer",Medium Issue,"Time-on-task, Drop-offs",Website (Desktop); Website (Mobile View),Common,"Header, Key actions",Task initiation,Visual,Assisted,0.65,v3.0.0
PLD-009,Page Layout and Visual Design,Make clickable elements clearly recognizable as interactive,"• Clickable elements lack visual affordances. • Users fail to recognize buttons or links. • This causes hesitation, errors, and task abandonment.","• Use consistent visual cues (shape, color, underline, hover/focus states). • Differentiate buttons from static content. • Maintain consistent styles across pages and devices.",• Buttons have solid fills or outlines with hover/focus states; links are underlined and color-distinct.,• Clickable text styled like body copy; buttons indistinguishable from cards or labels.,• Clear affordances and focus states support keyboard and screen reader users in identifying actionable elements.,GIGW 3.0 – Section 3.2.4,"Clear interactivity cues are foundational to predictable navigation and task completion, reducing cognitive load and preventing user errors.",Foundational,"Designer, Developer",Big Issue,"Task failure, Misclicks",Website (Desktop); Website (Mobile View); Mobile App,Common,"Buttons, Links, CTAs",Action initiation,"Visual, Interaction",Deterministic,0.9,v3.0.0
PLD-010,Page Layout and Visual Design,Avoid false visual affordances on non-clickable elements,• Non-interactive items visually resemble clickable elements. • Users attempt interactions that do nothing. • This causes confusion and loss of trust.,"• Ensure only interactive elements look clickable. • Remove underlines, hover states, shadows, or button styling from static content.",• Headings and labels appear as plain text with no hover or underline.,• Static text styled like a button or link.,• Clear affordances reduce confusion for users with cognitive disabilities and screen reader users relying on role clarity.,GIGW 3.0 – 3.2.4; WCAG 2.1 SC 3.2.4; DBIM; BIS IS 17428:2020,"Preventing false affordances ensures predictable interaction and reduces user errors, which is essential for trustworthy government interfaces.",Foundational,"Designer, Developer",Medium Issue,"Misclicks, User frustration",Website (Desktop); Website (Mobile View); Mobile App,Common,"Text, Icons, Labels",Interaction predictability,Visual,Deterministic,0.9,v3.0.0
PLD-011,Page Layout and Visual Design,Use interactive components appropriately and label actions clearly,• Interactive controls are unclear or ambiguously labeled. • Non-interactive items resemble controls. • Users are unsure what actions are possible.,"• Use standard components (buttons, checkboxes, radios) for actions. • Apply clear, action-oriented labels. • Avoid styling static items as controls.",• Buttons labeled “Submit Form” or “Download Report”.,• Vague labels like “Click Here” or decorative elements styled as controls.,• Clear labeling and component roles support screen reader users and reduce cognitive load.,BIS IS 17428:2020 – Clause 8.2.3,"Proper use of interactive components improves action clarity and prevents errors, supporting predictable and accessible interactions.",Foundational,"Designer, Developer",Medium Issue,"Task failure, Errors",Website (Desktop); Website (Mobile View),Common,"Buttons, Form controls",Action execution,"Visual, Content",Deterministic,0.85,v3.0.0
PLD-012,Page Layout and Visual Design,Make hyperlinked text visually distinguishable,• Links are visually indistinguishable from body text. • Users miss available navigation paths. • This reduces discoverability.,"• Style links using consistent cues (underline, color contrast). • Avoid hover-only link visibility.",• Links are underlined and color-distinct from body text.,• Links appear identical to normal text.,• Distinct link styling benefits low-vision users and keyboard users navigating by links.,GIGW 3.0 – 3.2.4; DBIM,Clearly identifiable links are essential for navigation efficiency and accessibility compliance.,Foundational,"Designer, Developer",Medium Issue,"Navigation errors, Drop-offs",Website (Desktop); Website (Mobile View),Common,Hyperlinks,Content navigation,Visual,Deterministic,0.9,v3.0.0
PLD-013,Page Layout and Visual Design,Use standard and intuitive icons and graphics,• Icons are custom or ambiguous. • Users misinterpret meaning. • This increases cognitive load.,• Use widely recognized icons. • Prefer established icon libraries. • Pair icons with labels where needed.,• Magnifying glass icon used for search.,• Abstract or decorative icons with unclear meaning.,• Standard icons improve comprehension for cognitive and low-literacy users.,GIGW 3.0 – 3.4.1; WCAG 2.1 SC 3.2.4,Recognizable icons reduce learning effort and support faster comprehension across diverse user groups.,Optimizing,"Designer, Developer",Medium Issue,"Cognitive load, Errors",Website (Desktop); Website (Mobile View),Common,"Icons, Graphics",Visual communication,Visual,Evaluative,0.8,v3.0.0
PLD-014,Page Layout and Visual Design,Use a consistent font style across the webpage,• Multiple font families used inconsistently. • Visual inconsistency increases cognitive load. • Brand perception weakens.,• Use a single primary font family across pages. • Limit variations to weight and size only.,"• One font family (e.g., Noto Sans) used consistently.",• Multiple unrelated fonts used across sections.,• Consistent typography improves readability for users with dyslexia and cognitive impairments.,BIS IS 17428:2020 Clause 8.2.3; DBIM Typography Guidelines,"Consistent typography reduces visual noise, strengthens brand identity, and improves comprehension across pages and languages.",Optimizing,"Designer, Developer",Small Issue,"Cognitive load, Brand trust",Website (Desktop); Website (Mobile View),Common,Text elements,Visual consistency,Visual,Deterministic,0.9,v3.0.0
PLD-015,Page Layout and Visual Design,Use color to group and organize content for clear visual hierarchy,• Content lacks visual grouping. • Users struggle to identify relationships and priorities. • Page appears flat or cluttered.,"• Apply a consistent color palette for grouping. • Use color to differentiate primary, secondary, and background elements.",• Related sections grouped using background color or accents.,• Random or inconsistent color usage with no grouping logic.,• Color-based grouping must not be the sole indicator; pair with spacing or labels for accessibility.,GIGW 3.0 – 3.2.2; BIS IS 17428:2020 Clause 8.2.4,"Strategic color usage improves scannability, hierarchy recognition, and faster comprehension of page structure.",Optimizing,"Designer, Developer",Medium Issue,"Scanning efficiency, Cognitive load",Website (Desktop); Website (Mobile View),Common,"Sections, Cards",Content organization,Visual,Evaluative,0.8,v3.0.0
PLD-016,Page Layout and Visual Design,"Maintain a harmonious, accessible color scheme with sufficient contrast",• Low contrast text reduces readability. • Busy or distracting backgrounds hinder comprehension. • Accessibility standards are violated.,• Use harmonious color palettes. • Ensure WCAG contrast ratios (4.5:1 normal text; 3:1 large text). • Avoid textured or busy backgrounds.,• Dark text on light background meeting contrast ratios.,• Low-contrast text over patterned backgrounds.,"• Essential for users with low vision, color blindness, or aging-related vision loss.","WCAG 2.1 SC 1.4.3, 1.4.6; GIGW 3.0 – 3.2.2; BIS IS 17428:2020; DBIM","Accessible color schemes are foundational to inclusive design, ensuring content is perceivable by all users.",Foundational,"Designer, Developer",Big Issue,"Accessibility risk, Readability",Website (Desktop); Website (Mobile View),Common,"Text, Backgrounds",Content consumption,Visual,Deterministic,0.95,v3.0.0
PLD-017,Page Layout and Visual Design,Provide print-friendly pages or printable versions,• Printed pages include navigation and clutter. • Content is hard to read when printed. • Users waste time formatting manually.,• Apply print-specific CSS styles. • Remove non-essential elements. • Offer a dedicated “Print Version” where relevant.,• Clean print layout with only essential content.,"• Printed page includes menus, ads, and backgrounds.","• High-contrast, simplified print layouts benefit users relying on physical copies.",GIGW 3.0 – 3.2.9; BIS IS 17428:2020 Clause 8.3.7,"Print-friendly layouts support offline access, documentation needs, and accessibility for users preferring physical records.",Optimizing,"Designer, Developer",Small Issue,"Task efficiency, User satisfaction",Website (Desktop),Common,Print styles,Offline usage,DOM,Deterministic,0.9,v3.0.0
PLD-018,Page Layout and Visual Design,Avoid italics and reserve underlining only for hyperlinks,• Italicized text reduces readability. • Underlining used for non-links misleads users. • Users confuse static text with interactive elements.,• Use bold text for emphasis instead of italics. • Restrict underlining strictly to hyperlinks.,• Emphasis shown using bold text; only links are underlined.,• Long italic paragraphs; underlined headings that are not links.,• Improves readability for users with dyslexia and low vision; prevents false affordances for assistive technology users.,"WCAG 2.1 SC 1.4.1, 3.2.4; GIGW 3.0 – 3.2.2","Clear and consistent text styling prevents confusion, improves readability, and maintains predictable interaction patterns.",Optimizing,"Designer, Developer",Small Issue,"Readability, Misclicks",Website (Desktop); Website (Mobile View),Common,"Text, Links",Content presentation,Visual,Deterministic,0.9,v3.0.0
PLD-019,Page Layout and Visual Design,Use a grid system for structured and aligned layouts,• Content lacks alignment and visual balance. • Pages appear cluttered or inconsistent. • Scanning becomes inefficient.,"• Apply a consistent grid system (e.g., 12-column). • Align text, images, and components both horizontally and vertically.","• Cards, text, and images align cleanly within a grid.",• Elements appear misaligned or arbitrarily placed.,• Structured layouts improve navigation for screen reader users and users with cognitive limitations.,GIGW 3.0 – 3.3.2; BIS IS 17428:2020 Clause 8.3.3,"Grid-based layouts ensure visual order, predictability, and responsive consistency across devices.",Optimizing,"Designer, Developer",Medium Issue,"Scannability, Cognitive load",Website (Desktop); Website (Mobile View); Mobile App,Common,Layout containers,Visual structure,Visual,Evaluative,0.8,v3.0.0
PLD-020,Page Layout and Visual Design,Group related information and functions for efficient scanning,• Related content and actions are scattered. • Users must jump across the page to complete tasks. • Cognitive load increases.,"• Group related items using cards, sections, or containers. • Use spacing and headings to reinforce grouping.",• Filters grouped with search; form fields grouped with submit action.,• Related controls placed far apart with no visual grouping.,• Logical grouping improves comprehension for users with cognitive and memory impairments.,GIGW 3.0 – 3.3.2; BIS IS 17428:2020 Clause 8.3.4; WCAG 2.1 SC 1.3.1,Logical grouping reduces mental effort and enables faster task execution and scanning.,Optimizing,"Designer, Developer",Medium Issue,"Task efficiency, Cognitive load",Website (Desktop); Website (Mobile View),Common,"Forms, Sections",Task execution,"Visual, DOM",Evaluative,0.8,v3.0.0
PLD-021,Page Layout and Visual Design,Structure pages section-by-section to aid element discovery,• Page content lacks clear sections. • Users struggle to locate information. • Navigation feels chaotic.,"• Use clear sectioning with headings (H1–H3). • Apply semantic landmarks (nav, main, footer).",• Page divided into clear sections with descriptive headings.,• Long unbroken pages with no structural cues.,• Semantic structure improves screen reader navigation and keyboard accessibility.,"BIS IS 17428:2020 Clause 8.2.1; WCAG 2.1 SC 1.3.1, 2.4.6","Well-structured pages improve findability, orientation, and accessibility for all users.",Foundational,"Designer, Developer",Medium Issue,"Navigation efficiency, Time-on-task",Website (Desktop); Website (Mobile View),Common,Page sections,Information discovery,DOM,Deterministic,0.9,v3.0.0
PLD-022,Page Layout and Visual Design,Maintain consistent logo placement across all pages,• Logo placement varies across pages. • Brand recognition weakens. • Users lose a familiar navigation anchor.,• Place logo consistently (typically top-left). • Link logo to homepage on all pages.,• Logo appears in the same position on every page and links home.,• Logo position changes or is missing on some pages.,• Consistent logo placement supports cognitive predictability and quick orientation.,"GIGW 3.0 – 3.6.1, 3.3; BIS IS 17428:2020 Clause 8.2.3",Consistent logo placement reinforces brand identity and provides a reliable navigation reference point.,Optimizing,Designer,Small Issue,"User trust, Navigation efficiency",Website (Desktop); Website (Mobile View),Common,"Header, Logo",Brand identity,Visual,Deterministic,0.9,v3.0.0
PLD-023,Page Layout and Visual Design,Ensure clicking the logo navigates to the homepage,• Logo does not link to the homepage. • Users lose a common navigation shortcut. • Orientation and trust are reduced.,• Link the logo to the homepage on all pages. • Keep placement consistent and avoid decorative-only usage.,• Logo at top-left links to homepage across all pages.,• Logo is static or links to a non-home destination.,• Predictable logo behavior supports cognitive accessibility and keyboard navigation.,"GIGW 3.0 – 3.6.1, 3.3; BIS IS 17428:2020 Clause 8.2.3",Linking the logo to the homepage aligns with user expectations and provides a reliable navigation anchor.,Foundational,Designer,Medium Issue,"Navigation errors, User trust",Website (Desktop); Website (Mobile View),Common,"Header, Logo",Global navigation,DOM,Deterministic,0.95,v3.0.0
PLD-024,Page Layout and Visual Design,Use attention-grabbing elements sparingly and purposefully,• Excessive animation or bright colors distract users. • Visual noise overwhelms content. • Accessibility risks increase.,"• Apply motion, color, and size changes only to emphasize critical items. • Keep animations subtle and WCAG-compliant.",• Subtle animation highlights a primary CTA only.,• Multiple flashing elements competing for attention.,• Reduces risk for users sensitive to motion or visual overload.,"WCAG 2.1 SC 2.3.1, 1.4.1, 1.4.3; GIGW 3.0 – 3.5.2; BIS IS 17428:2020 Clause 8.2.4","Controlled use of emphasis preserves usability, focus, and accessibility while still guiding attention.",Optimizing,Designer,Medium Issue,"Cognitive load, Drop-offs",Website (Desktop); Website (Mobile View),Common,"Animations, Highlights",Attention management,Visual,Evaluative,0.8,v3.0.0
PLD-025,Page Layout and Visual Design,Align UI components with overall theme and branding,• Components appear visually inconsistent. • Brand coherence is weakened. • User confidence decreases.,"• Use design system components. • Match colors, typography, and styles to brand guidelines.",• Search bar and controls match brand palette and typography.,• Third-party or mismatched components break visual unity.,• Consistent theming improves recognition for users with cognitive impairments.,"DBIM Branding & UI Guidelines; GIGW 3.0 Quality; WCAG 2.1 SC 1.4.3, 3.2.4",Brand-aligned components create a cohesive experience and reinforce legitimacy.,Optimizing,Designer,Small Issue,"Brand trust, Engagement",Website (Desktop); Website (Mobile View),Common,UI components,Visual consistency,Visual,Deterministic,0.9,v3.0.0
PLD-026,Page Layout and Visual Design,Provide access to underlying data for graphs and charts,• Charts convey information only visually. • Users cannot access exact values. • Non-visual users are excluded.,"• Add data labels, tooltips, or tables alongside charts. • Ensure keyboard and screen reader access.",• Bar chart includes numeric labels or accessible data table.,• Chart without labels or alternative data access.,• Ensures non-text content is perceivable to screen reader users.,WCAG 2.1 SC 1.1.1,Providing data access ensures equitable understanding and meets non-text content accessibility requirements.,Foundational,"Designer, Developer",Medium Issue,"Accessibility risk, Comprehension",Website (Desktop); Website (Mobile View),Common,"Charts, Graphs",Data interpretation,Content,Assisted,0.65,v3.0.0
PLD-027,Page Layout and Visual Design,Apply visual hierarchy to guide attention and information flow,• Content lacks clear hierarchy. • Users struggle to identify priorities. • Information flow is unclear.,"• Use size, color, spacing, and positioning to establish hierarchy. • Follow scanning patterns and contrast requirements.","• Headings, CTAs, and primary content clearly stand out.",• Uniform sizing and color make priorities unclear.,• Strong hierarchy aids users with cognitive and visual impairments in understanding structure.,"WCAG 2.1 SC 1.4.1, 1.3.1; DBIM; GIGW 3.0 – 5.1","Visual hierarchy directs attention efficiently, reducing cognitive load and improving task success.",Optimizing,Designer,Medium Issue,"Time-on-task, Cognitive load",Mobile App,Common,"Headings, CTAs",Information flow,Visual,Evaluative,0.75,v3.0.0
PLD-028,Page Layout and Visual Design,Apply a systematic typography scale for readability and comprehension,"• Inconsistent font sizes, weights, or spacing across headings and body text. • Poor readability and comprehension. • Visual hierarchy breaks down.","• Implement a defined type scale across headings and body text. • Maintain consistent line height, letter spacing, and paragraph spacing. • Support responsive and scalable typography.",• H1/H2/H3/body follow a documented scale with consistent spacing and contrast.,• Arbitrary font sizes and spacing used across screens.,• Consistent spacing and scalable text support low-vision users and users relying on text resizing.,"WCAG 2.1 SC 1.4.8, 1.4.12; WCAG 2.2 SC 1.4.11; DBIM Typography; GIGW 3.0 – 5.2","Systematic typography improves readability, hierarchy clarity, and inclusive comprehension across devices.",Optimizing,"Designer, Developer",Medium Issue,"Readability, Cognitive load",Mobile App,Common,"Text, Headings",Content consumption,Visual,Deterministic,0.9,v3.0.0
PLD-029,Page Layout and Visual Design,Apply a consistent visual identity system across all touchpoints,"• Colors, typography, icons, or logos are inconsistently applied. • Brand coherence weakens. • User trust is reduced.","• Use DBIM-defined colors, icons, typography, and logo lockups. • Enforce consistency via templates and audits.","• All screens follow DBIM palette, typography, and icon style.","• Mixed icon styles, fonts, or color palettes across screens.",• Consistent identity improves recognition for users with cognitive impairments.,DBIM Sections 2–5; GIGW 3.0 – 5.1.1,"A consistent visual identity reinforces trust, legitimacy, and usability across digital touchpoints.",Optimizing,Designer,Medium Issue,"Brand trust, Engagement",Mobile App,Common,UI components,Brand consistency,Visual,Evaluative,0.8,v3.0.0
PLD-030,Page Layout and Visual Design,Maintain comprehensive design system documentation,• Reusable components and rules are undocumented. • Inconsistent implementation occurs across teams. • Accessibility rules are missed.,"• Document components, tokens, patterns, and accessibility rules. • Provide usage guidelines and handoff specs.","• Centralized design system with components, tokens, and accessibility notes.",• Ad-hoc designs recreated without guidance.,• Documented accessibility rules support consistent inclusive implementation.,GIGW 3.0 – 5.1; DBIM Component Library & UX Kit,"Design system documentation ensures scalability, consistency, and governance across teams and releases.",Optimizing,"Designer, Developer",Medium Issue,"Consistency gaps, Rework",Mobile App,Common,Design system,Governance & scale,System,Assisted,0.65,v3.0.0
PLD-031,Page Layout and Visual Design,Manage information density using grouping and progressive disclosure,• Screens present too much information at once. • Users feel overwhelmed. • Key content is hard to locate.,"• Group related content into cards or sections. • Use accordions, tabs, and “Show more” patterns. • Apply adequate whitespace.",• Content grouped into cards with expandable sections.,• Long unstructured lists and dense screens.,• Progressive disclosure benefits users with cognitive or attention limitations.,"WCAG 2.1 SC 2.4.8, 1.3.1; GIGW 3.0 – 5.1",Controlled information density reduces cognitive load and improves scanability and task success.,Optimizing,"Designer, Developer",Medium Issue,"Cognitive load, Drop-offs",Mobile App,Common,"Cards, Accordions",Information discovery,"Visual, Interaction",Evaluative,0.75,v3.0.0
